formal,informal,enfp,joongding,gentle
아니요 찾았습니다. 벌써부터 좋은 냄새가 나는 것 같네요.,아니 찾았어. 벌써부터 좋은 냄새가 나는 것 같네.,아냐 찾았엉 ㅋㅋ 벌써 좋은 냄새 나는 거 같당ㅎㅎ,ㄴ 찾음 이미 ㅡㅡ 벌써 좋은냄새 나네,아니요. 찾았습니다. 벌써부터 좋은 냄새가 나는 것 같습니다.
쿠키하고 브라우니를 다 만든 후에는 뭘 만들까요?,쿠키하고 브라우니를 다 만든 후에는 뭘 만들까?,쿠키하구 브라우니를 다 만들구 나선 머 만드까??,쿠키랑 브라우니 다만들면 뭐만들거냐,쿠키하고 브라우니를 다 만든 후에는 뭘 만들면 좋겠습니까?
소보로빵 어때요?,소보로빵 어때?,소보로빵 어땡??,소보로빵 ㄱ,소보로빵 어떻습니까?
좋은 생각 같습니다.,좋은 생각 같아.,좋다 ㅎㅎ,ㅇㅎ ㅇㅋ,좋은 생각 같습니다.
안녕하세요.,안녕.,안뇽~,ㅎㅇ,안녕하십니까~
"안녕하세요, 노래를 부르고 계시네요.","안녕, 노래를 부르고 있네.",안뇽안뇽~~ 노래 부르구 있넹,ㅎㅇ 뭔데 노래부르고 있냐,"안녕하십니까, 노래를 부르고 있으시군요."
"네, 콘서트를 위해 연습하고 있습니다.","응, 콘서트를 위해 연습하고 있었어.",웅! 콘서트 위해서 연습중이야 ㅎㅎ,ㅇ 콘서트 하려고 연습하지 ㅡㅡ,"네, 콘서트를 위해 연습하고 있습니다."
엄청 잘 부르시는 것 같아요.,엄청 잘 부르는 것 같아.,엄~청 잘 부른당!!,잘부르네 ㅋ,엄청 잘 부르시네요.
"감사합니다, 제가 제일 좋아하는 노래입니다.","고마워, 내가 제일 좋아하는 노래야.",꼬마어♡ 내가 젤 좋아하는 노래야 ㅎㅎ,ㄳ 내가 좋아하는 노래임,감사합니다. 제가 제일 좋아하는 노래입니다.
노래 이름이 뭔가요?,노래 이름이 뭐야?,노래 이름이 모얌?!,노래 이름은 뭔데,노래 이름이 뭡니까?
비틀즈의 노란 잠수함입니다.,비틀즈의 노란 잠수함.,비틀즈의 노란 잠수함!!,비틀즈의 노란 잠수함,비틀즈의 노란 잠수함입니다. 
비틀즈의 신곡인가요?,신곡이야?,비틀즈 신곡이얌??,신곡임?,비틀즈의 신곡입니까?
"아니요, 예전에 나온 곡인데 다른 곡들에 비해 인기는 없었어요.","아니, 예전에 나온 곡인데 다른 곡들에 비해 인기는 없었어.","아냐! 전에 나온 곡인뎅 다른 곡들에 비해 인기는 없었엉 ㅎㅎ,,",ㄴ 옛날노랜데 다른노래보다 인기는 없었음,"아니요. 예전에 나온 곡입니다만, 다른 곡들에 비해 인기는 없었습니다."
"그렇군요, 전 비틀즈의 헤이 주드를 제일 좋아해요.","그렇군, 난 비틀즈의 헤이 주드를 제일 좋아해.","그렇구만, 난 비틀즈의 헤이 주드 젤 좋아행!!",ㅇㅎ 난 비틀즈 헤이주드 제일 좋아함,그렇군요. 전 비틀즈의 헤이 주드를 제일 좋아합니다.
그 노래도 정말 좋죠. 한번 불러볼까요?,그 노래도 정말 좋지. 한번 불러볼까?,그 노래도 진짜 좋지!! 한번 불러보까??,그것도 ㄱㅊ. 불러볼까,그 노래도 정말 좋습니다. 한번 불러볼까요?
부를 줄 아시나요?,부를 줄 알아?,부를 줄 알앙?!,부를 줄 아냐,부를 줄 아십니까?
"네, 하지만 부른 지 오래돼서 가사를 헷갈릴 수 있어요.","응, 하지만 부른 지 오래돼서 가사를 헷갈릴 수 있어.","웅! 근데 부른지 넘 오래되서 가사 헷갈릴 수 있어,,ㅎㅎ",ㅇ 근데 부른지 오래되서 가사 헷갈릴듯,"네, 하지만 부른지 오래되어 가사를 헷갈릴 수 있습니다."
"아니요, 정말 잘 부르실 것 같아요.","아니, 정말 잘 부를 것 같아.",아니! 정말 잘 부를거 가타 ㅎㅎ,ㄴ 잘부를 것 같은데,"아니요, 정말 잘 부르실 것 같습니다."
이번 여름에 여행을 가셨다고 들었어요.,이번 여름에 여행을 갔다고 들었어.,이번 여름에 여행 갔다구 들었어!!,이번 여름에 여행갔다매,이번 여름에 여행을 가셨다고 들었습니다.
"예, 캐나다로 갔었습니다.","응, 캐나다로 갔었어.",웅! 캐나다 갔었어 ㅎㅎ,ㅇ 캐나다로 갔음 왜,"네, 캐나다로 갔었습니다."
"멋있네요, 캐나다는 어땠나요?","멋있네, 캐나다는 어땠어?",멋지당!! 캐나다는 어땠어???,ㅇㅎ 캐나다 어떻디,멋지군요. 캐나다는 어떠했습니까?
로키산맥을 볼 수 있어서 재미있었어요.,로키산맥을 볼 수 있어서 재미있었어.,로키 산맥을 볼 수 있어서 재밌었엉 ㅎㅎ,로키산맥 볼 수 있어서 재밌었음,로키 산맥을 볼 수 있어서 재밌었습니다.
로키 산맥에는 만년설도 있다고 들었어요.,로키 산맥에는 만년설도 있다고 들었어.,로키 산맥엔 만년설두 있다구 들었는뎅!!,로키산맥에 만년설도 있다던데,로키 산맥에는 만년설도 있다고 들었습니다.
"네, 하지만 매년 줄어들고 있는 것 같아요.","맞아, 하지만 매년 줄어들고 있는 것 같아.",웅! 근데 매년 줄어들고 있는 거 가타ㅜㅜ,ㅇ 근데 매년 줄어들고 있는 듯,맞습니다. 하지만 매년 줄어드는 것 같습니다.
등산도 했나요?,등산도 했어?,등산두 했어??,등산도 했냐,등산도 하셨습니까?
"아니요, 도로변을 따라 자전거를 타면서 관광했습니다.","아니, 도로변을 따라 자전거를 타면서 관광했어.",아닝! 도로변을 따라 자전거 타면서 관광햇엉 ㅎㅎ,ㄴ 도로변 따라 자전거 타면서 관광함 왜,아니요. 도로변을 따라 자전거를 타면서 관광했습니다.
얼마나 오래 관광했어요?,얼마나 오래 관광했어?,얼마나 오래 관광했엉??,얼마나 오래 관광했는데,얼마나 오래 관광하셨나요?
로키 산맥에서만 이주일 정도 있었던 것 같습니다.,로키 산맥에서만 이주일 정도 있었던 것 같아.,로키 산맥에서만 이주 정도 있던 거 가타!!,로키산맥에서만 이주일 정도 있었음,로키 산맥에서만 이주일 정도 있었던 것 같습니다.
굉장히 오래 있엇네요.,굉장히 오래 있었네.,굉장히 오래 잇었넹ㅎㅎ,더럽게 오래 있었네,굉장히 오래 있었군요.
"네, 그래서 자전거에 침낭과 식수 등 장비를 많이 챙겨가야 했습니다.","응, 그래서 자전거에 침낭과 식수 등 장비를 많이 챙겨가야 했어.",웅! 그래서 자전거에 침낭이랑 식수 등 장비 많이 챙겨가야 했어ㅜㅜ,ㅇ 그래서 자전거에 침낭이랑 식수같은 장비 많이 챙겨감,"네, 그래서 자전거에 침낭과 식수 등 장비를 많이 챙겨가야 했습니다."
위험하지는 않았나요?,위험하지는 않았어?,위험하진 않았어?!,안위험했냐,위험하지는 않았습니까?
"산맥 곳곳에 휴게소가 있어서 별로 위험하지는 않았지만, 도로에서 자전거를 타니 자동차가 무서웠습니다.","산맥 곳곳에 휴게소가 있어서 별로 위험하지는 않았지만, 도로에서 자전거를 타니 자동차가 무서웠지.","산맥 곳곳에 휴게소가 있어서 별로 위험하진 않았는뎅,, 도로에서 자전거를 타니 자동차가 무서웠어,,",산맥 여기저기 휴게소 있어서 별로 위험하지는 않음. 근데 도로에서 자전거 타니까 자동차가 무서움,"산맥 곳곳에 휴게소가 있어서 별로 위험하지는 않았습니다만, 도로에서 자전거를 타니 자동차가 무서웠습니다."
야생동물은 봤나요?,야생동물은 봤어?,야생동물은 봤엉??,야생동물 봄?,야생동물은 보셨습니까?
"네, 실수로 곰 새끼를 건드려서 크게 화를 봤습니다.","응, 실수로 곰 새끼를 건드려서 크게 화를 봤어.","웅,, 실수로 곰새끼를 건드려서 크게 화 봤어ㅜㅜ",ㅇ 실수로 곰 새끼 건드렸다가 조졌음,"네, 실수로 곰의 새끼를 건드려서 크게 화를 봤습니다."
어쩌다가 곰을 건드리게 된 건가요?,어쩌다가 곰을 건드리게 된 거야?,"어쩌다 곰으 건드렸어,,,??",어쩌다 곰 건드렸냐,어쩌다가 곰을 건드리게 되셨나요?
"자전거를 타고 산맥을 구경하는데, 도로변에 작은 곰이 있었어요.","자전거를 타고 산맥을 구경하는데, 도로변에 작은 곰이 있었어.","자전거 타구 산맥 구경하는뎅,,, 도로변에 작은 곰이 있었어!",자전거 타고 산맥 구경하는데 도로변에 쪼그만 곰 있더라,"자전거를 타고 산맥을 구경하는데, 도로변에 작은 곰이 있었습니다."
곰한테 다가갔나요?,곰한테 다가갔어?,곰한테 다가갔엉??,곰한테 다가감? ㅡㅡ,곰한테 다가갔습니까?
"뒤에 다른 자전거가 보이는 것 같아서 최대한 빨리 지나가려고 했는데, 실수로 쳐버렸어요.","뒤에 다른 자전거가 보이는 것 같아서 최대한 빨리 지나가려고 했는데, 실수로 쳐버렸어.","뒤에 다른 자전거가 보이는 거 같아서 최대한 빨리 지나가려구 했는데, 실수로 쳐버렸어ㅜㅜ",뒤에 다른 자전거 보이는 거 같아서 빨리 지나갈라 했는데 실수로 쳐버림,"뒤에 다른 자전거가 보이는 것 같아서 최대한 빨리 지나가려고 했습니다만, 실수로 쳐버렸습니다."
곰 새끼가 다쳤나요?,곰 새끼가 다쳤어?,곰새끼가 다쳣엉..???,곰 새끼 다침?,곰의 새끼가 다쳤습니까?
"아니요, 다친건 아닌 거 같았는데, 고음의 울음소리를 갑자기 내는 거에요.","아니, 다친건 아닌 거 같았는데, 고음의 울음소리를 갑자기 내는 거야.","아닝,, 다친건 아닌 거 같았는데,,, 고음의 울음소리를 갑자기 내는거야,,",ㄴ 다친건 아닌데 갑자기 시끄럽게 울더라,"아니요, 다치진 않은 것 같은데, 고음의 울음소리를 갑자기 내는 겁니다."
그 다음에는 어떻게 됐나요?,그 다음에는 어떻게 됐어?,그 담엔 어케 됐엉??,어떻게 됐는데 그리고,그 다음에는 어떻게 됐습니까?
"뭔가 크게 잘못된걸 눈치채고, 최대한 빨리 자전거 페달을 밟고 달리기 시작했죠.","뭔가 크게 잘못된 걸 눈치채고, 최대한 빨리 자전거 페달을 밟고 달리기 시작했지.","뭔가 크게 잘못된 걸 눈치채고, 최대한 빨리 자전거 페달 밟구 달리기 시작했지,,,",뭔가 잘못된 거 같아서 최대한 빨리 자전거 페달밟고 튐,"뭔가 크게 잘못된 걸 눈치채고, 최대한 빨리 자전거 페달을 밟고 달리기 시작했습니다."
어미 곰은 봤나요?,어미 곰은 봤어?,어미 곰은 봤어?!!,어미곰은 봄?,어미곰은 보셨습니까?
"최대한 빠르게 도망가고 있는데, 뒤에서 갑자기 하늘을 찢는듯한 울음소리가 들렸어요.","최대한 빠르게 도망가고 있는데, 뒤에서 갑자기 하늘을 찢는듯한 울음소리가 들렸어.","최대한 빠르게 도망가구 있었는뎅,,, 뒤에서 갑자기 하늘을 찢는듯한 울음소리 들렸엉,,,",최대한 빨리 튀는데 뒤에서 갑자기 시끄러운 울음소리 들렸음,"최대한 빠르게 도망가고 있는데, 뒤에서 갑자기 하늘을 찢는듯한 울음소리가 들렸습니다."
자기 새끼를 쳤다고 화를 내는 어미곰이였겠네요.,자기 새끼를 쳤다고 화를 내는 어미곰이였겠네.,"자기 새끼를 쳤다고 화내는 어미곰이였겠넹,,,",지 새끼 쳤다고 빡친 어미곰인듯ㅋ,자기 새끼를 쳤다고 화를 내는 어미곰이였군요.
"처음에는 쫓아오는 것 처럼 보였는데, 이내 포기하고 더 이상은 안 뛰어와서 안심했어요.","처음에는 쫓아오는 것 처럼 보였는데, 이내 포기하고 더 이상은 안 뛰어와서 안심했어.","첨엔 쫓아오는 것처럼 보였는데, 이내 포기하구 더 이상은 안 뛰어와서 안심했어 ㅎㅎ",처음에는 쫓아오는 것 같았는데 결국 포기하고 안쫓아와서 안심함,"처음에는 쫓아오는 것처럼 보였습니다만, 이내 포기하고 더 이상은 뛰어오지 않아서 안심했습니다."
안 다쳐서 다행이네요.,안 다쳐서 다행이네.,안 다쳐서 다행이다!!,안다쳐서 망정이네,안 다치셔서 다행입니다.
"하지만 걱정이 되는 점이 있다면, 뒤에 오는 자전거 그룹은 어떻게 됐을까요?","하지만 걱정이 되는 점이 있다면, 뒤에 오는 자전거 그룹은 어떻게 됐을까?","하지만,, 걱징이 되는 점이 있다면,,, 뒤에 오는 자전거 그룹은 어떻게 됐을까..?",근데 걱정되는게 뒤에 오는 자전거 그룹이 어떻게 됐을지임,"하지만 걱정이 되는 점이 있다면, 뒤에 오는 자전거 그룹은 어떻게 되었을까요..?"
안녕하세요,안녕.,안뇽~,ㅎㅇ,안녕하십니까
"안녕하세요, 기분이 좋으신 것 같습니다.","안녕, 기분이 좋은 것 같다?",안뇽~ 기분이 좋은 거 가타!,ㅎㅇ 뭔데 기분 좋아보이냐,안녕하십니까~ 기분이 좋으신 것 같습니다.
이번 주말에 새 자전거를 탈 수 있어서 기대하고 있습니다.,이번 주말에 새 자전거를 탈 수 있어서 기대하고 있어.,이번 주말에 새 자전거 탈 수 있어서 기대 중이얌ㅎㅎ,이번 주말에 새 자전거 탈 수 있어서 기대하는중,이번 주말에 새 자전거를 탈 수 있어서 기대하고 있습니다.
재미있을 것 같네요. 어디서 주로 자전거를 타시나요?,재미있을 것 같네. 어디서 주로 자전거를 타?,재밌을 거 같다!! 어디서 주로 자전거 타???,ㅇㅎ 어디서 주로 자전거 타는데,재밌을 것 같군요. 어디서 주로 자전거를 타십니까?
물가면 아무데서나 탑니다. 푸른 경치를 보면서 타는 것을 좋아해요.,물가면 아무데서나 타지. 푸른 경치를 보면서 타는 것을 좋아해.,물가면 아무데서나 타! 푸른 경치 보면서 타는 게 좋아 ㅎㅎ,물가면 아무데서나 탐. 푸른 경치 보면서 타는거 좋아함,물가면 아무데서나 탑니다. 푸른 경치를 보면서 타는 것을 좋아합니다.
저도 물가에서 자전거를 타는 것을 좋아합니다. 강을 끼는 공원에서 주말에 자전거 타는 것을 좋아해요.,나도 물가에서 자전거를 타는 것을 좋아해. 강을 끼는 공원에서 주말에 자전거 타는 것을 좋아해.,나두 물가에서 자전거 타는 거 좋아해ㅜㅜㅜ!! 강을 끼는 공원에서 주말에 자전거 타는 걸 좋아해 ㅎㅎ,나도 물가에서 자전거 타는거 좋아함. 강 끼는 고우언에서 주말에 자전거 탄다,저도 물가에서 자전거 타는 것을 좋아합니다. 강을 끼는 공원에서 주말에 자전거 타는 것을 좋아합니다.
근처에 강을 끼는 공원이 있나요?,근처에 강을 끼는 공원이 있나?,근처에 강을 끼는 공원이 있엉???,근처에 강 끼는 공원도 있냐,근처에 강을 끼는 공원이 있습니까?
"여기서 약 한시간 거리에 자전거길이 있는데, 공원 안에 있어서 공기가 깨끗하고 안전해요.","여기서 약 한시간 거리에 자전거 길이 있는데, 공원 안에 있어서 공기가 깨끗하고 안전해.",여기서 약 한시간 거리에 자전거 길이 있는데 공원 안에 있어서 공기가 깨끗하구 안전해!!,한시간 거리에 자전거길 있는데 공원 안이라 공기 깨끗하고 안전함,"여기서 약 한시간 거리에 자전거길이 있습니다만, 공원 안에 있어서 공기가 깨끗하고 안전합니다."
"좋아 보이는 곳이네요, 혹시 나중에 어디있는지 알려주실 수 있으신가요?","좋아 보이는 곳이네, 혹시 나중에 어디있는지 알려줄 수 있어?",좋아보인당! 혹시 나중에 어디있는지 알려줄 수 있엉???,괜찮아보이네. 나중에 어디있는지 얘기해,"좋아 보이는 곳이군요, 혹시 나중에 어디있는지 알려주실 수 있으십니까?"
지금 알려드릴 수 있습니다. 가는 길이 헷갈리시면 이번 주말에 저랑 같이 가실래요?,지금 알려줄 수 있어. 가는 길이 헷갈리면 이번 주말에 나랑 같이 갈래?,지금 알려줄 수 있어! 가는 길이 햇갈리면 이번 주말에 나랑 같이 레고~??!,지금 알려줌. 가는길 헷갈리면 주말에 나랑 같이 가던가,지금 알려드릴 수 있습니다. 가는 길이 헷갈리시면 이번 주말에 저와 함께 가겠습니까?
좋은 것 같습니다. 새 자전거로 새 길에 타는 것은 운치있을 것 같아요.,좋은 것 같아. 새 자전거로 새 길에 타는 것은 운치있을 것 같아.,좋앙 ㅎㅎ 새 자전거로 새 길에 타는 건 운치 있을 거 가타!!!ㅎㅎ,ㅇㅋ 새자전거로 새길 타면 운치있을듯,좋을 것 같습니다. 새 자전거로 새 길에 타는 것은 운치있을 것 같습니다.
공원에 차로 가실 건가요 자전거로 가실 건가요?,"공원까지 차로 갈래, 자전거로 갈래?",공원에 차로 갈래 자전거로 갈랭~??,공원까지 차로 갈거 자전거로 갈거?,"공원까지 차로 가시겠습니까, 자전거로 가시겠습니까?"
모르는 곳에 가는 거다 보니 처음에는 차로 가겠습니다.,모르는 곳에 가는 거다 보니 처음에는 차로 갈게..,모르는 곳에 가는거다 보니 첨엔 차로 갈게!,모르는곳 가는거니까 처음에는 차로 감,모르는 곳에 가는거다 보니 처음에는 차로 가겠습니다.
"그러면 주말에 자전거 준비하고 계세요, 제가 픽업하러 갈게요.","그러면 주말에 자전거 준비하고 있어, 내가 데리러 갈게.",그럼 주말에 자전거 준비하구 있엉! 내가 픽업하러 가께 ㅎㅎ,그럼 주말에 자전거나 준비해둬라. 데리러감,그러면 주말에 자전거를 준비하고 있으시길 바랍니다. 제가 픽업하러 가겠습니다.
"저번에 로키 산맥을 들렀는데, 굉장한 광경을 목격했어요.","저번에 로키 산맥을 들렀는데, 굉장한 광경을 목격했어.",전에 로키 산맥 들렀는데 굉장한 광경 봤다??,저번에 로키산맥 들렀는데 쩌는거 봄ㅋ,"저번에 로키 산맥을 들렀는데, 굉장한 광경을 목격했습니다."
뭘 봤나요?,뭘 봤어?,머 봤엉?!??,뭐봤는데,무엇을 보셨습니까?
소나무들이 수만그루씩 죽어서 빨간 그루터기만 남겨둔걸 봤어요.,소나무들이 수만그루씩 죽어서 빨간 그루터기만 남겨둔걸 봤어.,소나무들이 수만그루씩 죽어서 빨간 그루터기만 남겨둔 걸 봤엉!,소나무들이 수만그루씩 죽어서 빨간 그루터기만 남았데 ㅋ,소나무들이 수만그루씩 죽어서 빨간 그루터기만 남겨둔 걸 보았습니다.
어째서 잘 살던 소나무들이 갑자기 죽어나가는 것인가요?,어째서 잘 살던 소나무들이 갑자기 죽어나가는 것일까?,왜 잘 살던 소나무들이 갑자기 죽어가는 걸까ㅜㅜ??,뭔데 잘 살던 소나무들이 갑자기 죽어나가는데,어째서 잘 살던 소나무들이 갑자기 죽어나가는 것입니까?
산악 소나무 딱정벌레라는 곤충이 소나무에 유충을 낳아서 죽인다고 들었어요.,산악 소나무 딱정벌레라는 곤충이 소나무에 유충을 낳아서 죽인다고 들었어.,"산악 소나무 딱정벌레라는 곤충이 소나무에 유충을 낳아서 죽인다구 들었엉,,,",산악 소나무 딱정벌레라는 곤충이 소나무에 유충 낳아서 다 죽인다더라,산악 소나무 딱정벌레라는 곤충이 소나무에 유충을 낳아서 죽인다고 들었습니다.
일종의 기생충인 셈이네요.,일종의 기생충인 셈이네.,"일종의 기생충이구낭,,,",기생충같은거네,일종의 기생충인 셈이군요.
"네, 원래는 겨울에 죽어야 하는 벌레들인데, 최근에 캐나다 날씨가 따듯했잖아요.","원래는 겨울에 죽어야 하는 벌레들인데, 최근에 캐나다 날씨가 따듯했잖아.","웅,, 원래 겨울에 죽어야 하는 벌렌데 최근에 캐나다 날씨가 따뜻했자나,,,",원래 얘네 겨울에 죽는데 최근에 캐나다 날씨가 따뜻했음,"네, 원래는 겨울에 죽어야 하는 벌레들입니다만, 최근에 캐나다 날씨가 따뜻했잖습니까"
그러고 보니 작년에는 눈이 그다지 안 내렸던 것 같아요.,그러고 보니 작년에는 눈이 그다지 안 내렸던 것 같아.,"그러구 보니 작년엔 눈이 그닥 안 내렸던 거 같당,,",ㅇㅎ 작년엔 눈도 별로 안온듯,그러고 보니 작년에는 눈이 그다지 내리지 않았던 것 같습니다.
그래서 죽어야 하는 소나무 딱정벌레들이 안 죽고 계속 번식을 했어요.,그래서 죽어야 하는 소나무 딱정벌레들이 안 죽고 계속 번식을 했어.,"그래서 죽어야 하는 소나무 딱정벌레들이 안 죽구 계속 번식햇어,,",그래서 죽어야 하는 소나무 딱정벌레들이 안뒤지고 계속 번식함,그래서 죽어야 하는 소나무 딱정벌레들이 안 죽고 계속 번식을 했습니다.
늘어나는 딱정벌레가 소나무를 죽이는 셈이 되는거네요.,늘어나는 딱정벌레가 소나무를 죽이는 셈이 되는거네.,"늘어나는 딱정벌레가 소나무를 죽이는 셈이구낭,,,",늘어나는 딱정벌레가 소나무 죽이는거네 그럼,늘어나는 딱정벌레가 소나무를 죽이는 셈이 되는거군요.
"네, 그리고 원래 캐나다의 소나무들은 미국의 소나무와는 달리 이 딱정벌레에 내성이 없어요,","응, 그리고 원래 캐나다의 소나무들은 미국의 소나무와는 달리 이 딱정벌레에 내성이 없어.",웅 글구 원래 캐나다의 소나무들은 미국의 소나무와 달리 이 딱정벌레에 내성이 없대,ㅇ 그리고 원래 캐나다 소나무들이 미국 소나무들이랑은 다르게 이 딱정벌레에 내성이 없음,"네, 그리고 원래 캐나다의 소나무들은 미국의 소나무와는 달리 이 딱정벌레에 내성이 없습니다."
미국은 왜 내성이 있고 캐나다는 없나요?,미국은 왜 내성이 있고 캐나다는 없어?,미국은 왜 내성이 있구 캐나다는 없엉??,미국은 왜 내성이 있고 캐나다는 없는데,미국은 왜 내성이 있고 캐나다는 없습니까?
미국의 소나무들은 예전부터 딱정벌레의 습격을 받아서 내성을 기를 시간이 있엇거든요.,미국의 소나무들은 예전부터 딱정벌레의 습격을 받아서 내성을 기를 시간이 있었거든.,"미국 소나무들은 전부터 딱정벌레 습격 받아서 내성을 기를 시간이 있었거든,,,",미국 소나무들은 예전부터 딱정벌레한테 쳐맞아서 내성 기를 시간 없었음,미국의 소나무들은 예전부터 딱정벌레의 습격을 받아서 내성을 기를 시간이 있었습니다.
캐나다의 소나무들은 여태까지 겨울이 벌레들을 죽여줘서 내성을 기를 이유가 없었군요.,캐나다의 소나무들은 여태까지 겨울이 벌레들을 죽여줘서 내성을 기를 이유가 없었군.,캐나다의 소나무들은 여태까지 겨울이 벌레들을 죽여줘서 내성 기를 이유가 없었구나!!,캐나다 소나무들은 지금껏 겨울이 벌레들을 죽여줘서 내성 기를 이유더 없었겠네,캐나다의 소나무들은 여태까지 겨울이 벌레들을 죽여줘서 내성을 기를 이유가 없었군요.
"안녕하세요, 어떻게 하면 농구를 잘 할 수 있을까요?","안녕, 어떻게 하면 농구를 잘 할 수 있을까?",안뇽~ 어떻게 하면 농구를 잘 할 수 있으까?!,ㅎㅇ 농구 어떻게 잘하냐,"안녕하십니까, 어떻게 하면 농구를 잘 할 수 있겠습니까?"
농구를 잘하고 싶으면 여러가지를 잘해야죠.,농구를 잘하고 싶으면 여러가지를 잘해야지.,농구를 잘하구 싶음 여러가지를 잘해야징!,농구 잘할라면 여러가지 잘해야됨 ㅡㅡ,농구를 잘하고 싶으면 여러가지를 잘해야합니다.
키가 커야 하나요?,키가 커야 해?,키가 커야대..??!,키 커야되냐,키가 커야 합니까?
"키가 크면 확실히 유리하지만, 꼭 키가 커야만 농구를 잘하는 것은 아니에요.","키가 크면 확실히 유리하지, 하지만 꼭 키가 커야만 농구를 잘하는 것은 아니야.",키가 크면 확실히 유리하지! 근데 꼭 키가 커야만 농구를 잘 하는 건 아냐!,키크면 유리하긴 함. 근데 키크다고 농구 잘하냐 ㅡㅡ,"키가 크면 확실히 유리하지만, 꼭 키가 커야만 농구를 잘하는 것은 아닙니다."
그럼 뭐가 필요한가요?,그럼 뭐가 필요해?,그럼 뭐가 필요해?!,그럼 뭐가 필요한데,그럼 뭐가 필요합니까?
일단 빨라야해요. 드리블을 하면서도 전속력으로 달릴 수 있어야하지요.,일단 빨라야해. 드리블을 하면서도 전속력으로 달릴 수 있어야하지.,"일단,,,빨라야대! 드리블 하면서도 전속력으로 달릴 수 있어야지!",일단 빨라야됨. 드리블하면서 전속력으로 달릴 수 있어야됨,일단 빨라야 합니다. 드리블을 하면서도 전속력으로 달릴 수 있어야 합니다.
연습을 많이 해서 저도 그렇게 할 수 있습니다.,연습을 많이 해서 나도 그렇게 할 수 있어.,연습을 많이 해서 나두 그렇게 할 수 있어!!,연습 많이 해서 나도 그건 할 수 있음 ㅡㅡ,연습을 많이 해서 저도 그렇게 할 수 있습니다.
그리고 슛을 잘해야해요. 어느 상황에서도 점수를 노릴 수 있으면 전략적으로 가치가 커지지요.,그리고 슛을 잘해야해. 어느 상황에서도 점수를 노릴 수 있으면 전략적으로 가치가 커지지.,글구 슛을 잘해야지~ 어느 상황에서두 점수를 노릴 수 있으면 전략적으로 가치가 커지지!!,그리고 슛도 잘해야된다. 어떤 상황이건 점수 노릴 수 있어야 전략적인 가치 커짐,그리고 슛을 잘해야합니다. 어느 상황에서도 점수를 노릴 수 있으면 전략적으로 가치가 커집니다.
그 부분도 연습을 많이 하고 있습니다. 하지만 3점 슛들이 너무 힘들어요.,그 부분도 연습을 많이 하고 있어. 하지만 3점 슛들이 너무 힘들어.,그 부분은 연습 많이 하구 있엉 ㅎㅎ 근데 3점 슛들이 넘 힘드러ㅜㅜ,그것도 연습 많이 하고 있음. 근데 3점 슛 개빡셈 ㅡㅡ,그 부분도 연습을 많이 하고 있습니다. 하지만 3점 슛들이 너무 힘듭니다.
아무도 3점 슛을 당신이 넣는 것을 기대하고 있지는 않아요.,아무도 3점 슛을 네가 넣는 것을 기대하고 있지는 않아.,아무도 너가 3점슛을 넣을 거라구 기대하진 않아!!,니가 3점 넣으라고 아무도 안함 ㅡㅡ,아무도 3점슛을 선생님이 넣어야 한다고 기대하진 않습니다.
그러면 2점 슛들이 더 중요한 건가요?,그러면 2점 슛들이 더 중요한 거야?,그럼 2점 슛들이 더 중요한거야?!,그럼 2점 슛이 더 중요한거?,그러면 2점 슛들이 더 중요한 겁니까?
정확히 맞아요. 3점 슛을 못 넣는건 어쩔 수 없지만 2점 슛을 놓쳐서는 안 돼요.,정확히 맞아. 3점 슛을 못 넣는건 어쩔 수 없지만 2점 슛을 놓쳐서는 안돼.,"정확해! 3점 슛을 못 넣는 건 어쩔 수 없지만,,, 2점슛을 놓쳐선 안돼!!",ㅇ 3점슛 못넣는건 그렇다 쳐도 2점슛 놓치면 안됨,정확합니다. 3점 슛을 못 넣는건 어쩔 수 없지만 2점슛을 놓쳐서는 안됩니다.
그러면 저도 그 부분을 더 연습해야겠네요.,그러면 나도 그 부분을 더 연습해야겠네.,그럼 나두 그 부분을 더 연습해야겠넹!!,그럼 나도 그거 더 연습함,그러면 저도 그 부분을 더 연습해야겠군요.
그리고 꼭 팀 경기에서 연습을 해봐요. 혼자 연습하기에는 농구는 너무 복잡한 게임이에요.,그리고 꼭 팀 경기에서 연습을 해봐. 혼자 연습하기에는 농구는 너무 복잡한 게임이야.,글구 꼭 팀 경기에서 연습해봐야해!! 혼자 연습하기엔 농구는 넘 복잡한 겜이야!,그리고 꼭 팀경기에서 연습해라 ㅡㅡ 혼자 연습하기에 농구는 너무 복잡하다,그리고 꼭 팀 경기에서 연습을 해보십쇼. 혼자 연습하기에는 농구는 너무 복잡한 게임입니다.
제일 좋아하는 음식이 뭔가요?,제일 좋아하는 음식이 뭐야?,젤 좋아하는 음식이 모야?!,음식 뭐 제일 좋아하냐,제일 좋아하는 음식이 무엇입니까?
저는 푸드 트럭에서 파는 햄버거가 제일 좋아요.,나는 푸드 트럭에서 파는 햄버거가 제일 좋아.,난 푸드 트럭에서 파는 햄버거가 젤 좋앙!!,난 푸드트럭 햄버거가 제일 좋다,저는 푸드 트럭에서 파는 햄버거가 제일 좋습니다.
